libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-4
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfce4ui 4.12.1-2
libxfce4util 4.13.2-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxkbui 1.0.2-6
libxml2 2.9.8-5
libxmu 1.1.2-2
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzip 1.5.1-1
libzmf 0.0.2-4
licenses 20171006-1
light 1.1.2-1
linux 4.18.10.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20180825.fea76a0-1
llvm-libs 7.0.0-1
lm_sensors 3.4.0+5176+dcf23676-1
lmdb 0.9.22-1
logrotate 3.14.0-1
lpsolve 5.5.2.5-2
lshw B.02.18-2
lua 5.3.5-1
lua52 5.2.4-2
lvm2 2.02.181-1
lxappearance 0.6.3-1
lynx 2.8.9-2
lz4 1:1.8.3-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
mariadb 10.1.36-1
mariadb-clients 10.1.36-1
materia-gtk-theme 20180928-1
mathjax 2.7.5-1
mc 4.8.21-1
mdadm 4.0-1
mendeleydesktop 1.19.2-1
mesa 18.2.1-2
metis 5.1.0.p3-1
mimic-git 1.2.0.2.r0.67e43bf-1
miniupnpc 2.1-2
minizip 1:1.2.11-3
mirage 0.9.5.2-5
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.29.3-1
mlocate 0.26.git.20170220-1
mobile-broadband-provider-info 20170310-1
mod_wsgi 4.5.24-2
mousetweaks 3.12.0-2
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
msmtp 1.8.0-2
msmtp-mta 1.8.0-2
mtdev 1.1.5-2
mupdf 1.13.0-1
mypaint-brushes 1.3.0-2
mysql-python 1.2.5-2
mysql-workbench 8.0.12-4
nano 3.1-1
ncurses 6.1-3
ndctl 62-2
neomutt 20180716-4
neon 0.30.2-3
net-snmp 5.7.3-9
net-tools 1.60.20180212git-1
netbeans 8.2-1
netcf 0.2.8-4
netctl 1.18-1
nettle 3.4-1
network-manager-applet 1.8.18-2
networkmanager 1.14.1dev+13+g0d3234478-1
networkmanager-openvpn 1.8.6-1
networkmanager-pptp 1.2.6-1
networkmanager-strongswan 1.4.4-2
nitrogen 1.6.1-2
nm-connection-editor 1.8.18-2
nmap 7.70-2
node-gyp 3.8.0-1
nodejs 10.11.0-1
notepadqq 1.4.8-1
notmuch-runtime 0.27-2
noto-fonts 20180322-1
noto-fonts-extra 20180322-1
npm 6.4.1-1
npth 1.6-1
nspr 4.20-1
nss 3.39-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p12-2
numactl 2.0.12-1
oath-toolkit 2.6.2-4
ocl-icd 2.2.12-1
oki-b411-b431 5.0.0-1
onboard 1.4.1-3
oniguruma 6.9.0-1
openal 1.19.0-2
openbsd-netcat 1.190_2-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openssh 7.8p1-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
openvpn 2.4.6-1
opus 1.2.1-1
oracle-instantclient-basic 18.3.0.0.0-1
oracle-sqldeveloper 4.1.5.21.78-1
orc 0.4.28-1
os-prober 1.76-1
osinfo-db 20180903-1
osm-gps-map 1.1.0-3
otf-font-awesome-4 4.7.0-5
otf-san-francisco 1:1.0-4
p11-kit 0.23.14-1
p7zip 16.02-5
pacman 5.1.1-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20180912-1
pam 1.3.1-1
pambase 20171006-1
pamixer 1.3.1-10
pandoc 2.3.1-3
pango 1.42.4-1
pangomm 2.40.1-2
paper-icon-theme-git 801.a62a937e-1
parole 1.0.1-1
parted 3.2-6
patch 2.7.6-1
patchelf 0.9-1
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.6.1-1
pcmciautils 018-8
pcre 8.42-1
pcre2 10.32-1
pcsclite 1.8.23-3
pepper-flash 31.0.0.108-1
perl 5.28.0-1
perl-clone 0.39-5
perl-dbi 1.641-2
perl-error 0.17026-2
perl-mailtools 2.20-2
perl-timedate 2.30-5
perl-uri 1.74-2
perl-xml-libxml 2.0132-2
perl-xml-namespacesupport 1.12-2
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
phodav 2.2-2
php 7.2.10-1
php-apache 7.2.10-1
pianobar 2018.06.22-1
pinentry 1.1.0-4
pixman 0.34.0-1
pkcs11-helper 1.23-1
pkgconf 1.5.3-1
pkgfile 18-2
polkit 0.115+3+g8638ec5-1
poppler 0.67.0-1
poppler-data 0.4.9-1
poppler-glib 0.67.0-1
popt 1.16-9
portaudio 190600_20161030-1
potrace 1.15-1
ppp 2.4.7-4
pptpclient 1.10.0-1
procps-ng 3.3.15-1
profont 1-5
proj 5.2.0-1
protobuf 3.6.1-1
psmisc 23.1-1
pugixml 1.9-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pulseaudio-equalizer 12.2-2
py3status 3.12-3
pygobject-devel 3.30.1-3
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.11.2-2
python 3.7.0-4
python-appdirs 1.4.3-2
python-cachecontrol 0.12.5-4
python-cairo 1.17.0-2
python-chardet 3.0.4-2
python-colorama 0.3.9-2
python-dateutil 2.7.3-2
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-distlib 0.2.7-2
python-distro 1.3.0-2
python-gobject 3.30.1-3
python-gobject2 2.28.7-2
python-h5py 2.8.0-3
python-html5lib 1.0.1-3
python-idna 2.7-3
python-keras 2.2.2-5
python-lockfile 0.12.2-3
python-msgpack 0.5.6-2
python-numpy 1.15.2-1
python-packaging 17.1-2
python-pandas 0.23.4-1
python-pip 18.0-1
python-progress 1.4-2
python-pyparsing 2.2.2-1
python-pyqt5 5.11.2-2
python-pytoml 0.1.19-1
python-pytz 2018.5-2
python-requests 2.19.1-2
python-retrying 1.3.3-4
python-scipy 1.1.0-2
python-setuptools 1:40.4.3-1
python-sip 4.19.12-5
python-sip-pyqt5 4.19.12-5
python-six 1.11.0-3
python-stevedore 1.29.0-1
python-urllib3 1.23-2
python-virtualenv 16.0.0-1
python-virtualenv-clone 0.3.0-2
python-virtualenvwrapper 4.8.2-2
python-webencodings 0.5.1-2
python-yaml 3.13-2
python2 2.7.15-2
python2-appdirs 1.4.3-2
python2-asn1crypto 0.24.0-2
python2-attrs 18.2.0-1
python2-automat 0.7.0-2
python2-bcrypt 3.1.4-2
python2-cachecontrol 0.12.5-4
python2-cairo 1.17.0-2
python2-cffi 1.11.5-2
python2-chardet 3.0.4-2
python2-click 7.0-1
python2-colorama 0.3.9-2
python2-constantly 15.1.0-3
python2-cryptography 2.3.1-1
python2-dbus 1.2.8-2
python2-distlib 0.2.7-2
python2-distro 1.3.0-2
python2-enum34 1.1.6-1
python2-exiv2 0.3.2-19
python2-gobject 3.30.1-3
python2-gobject2 2.28.7-2
python2-h5py 2.8.0-3
python2-html5lib 1.0.1-3
python2-hyperlink 18.0.0-2
python2-idna 2.7-3
python2-incremental 17.5.0-2
python2-ipaddr 2.1.11-2
python2-ipaddress 1.0.22-1
python2-keras 2.2.2-5
python2-lockfile 0.12.2-3
python2-msgpack 0.5.6-2
python2-numpy 1.15.2-1
python2-packaging 17.1-2
python2-paramiko 2.4.2-1
python2-pexpect 4.6.0-2
python2-pip 18.0-1
python2-ply 3.11-2
python2-progress 1.4-2
python2-psutil 5.4.7-1
python2-ptyprocess 0.6.0-2
python2-pyasn1 0.4.4-1
python2-pyasn1-modules 0.2.2-2
python2-pychm 0.8.4.1-2
python2-pycparser 2.19-1
python2-pyhamcrest 1.9.0-3
python2-pynacl 1.2.1-3
python2-pyopenssl 18.0.0-2
python2-pyparsing 2.2.2-1
python2-pytoml 0.1.19-1
python2-requests 2.19.1-2
python2-retrying 1.3.3-4
python2-scipy 1.1.0-2
python2-service-identity 17.0.0-2
python2-setuptools 1:40.4.3-1
python2-six 1.11.0-3
python2-twisted 18.7.0-2
python2-urllib3 1.23-2
python2-virtualenv 16.0.0-1
python2-webencodings 0.5.1-2
python2-yaml 3.13-2
python2-zope-interface 4.5.0-2
qemu 3.0.0-2
qpdf 8.2.1-1
qrencode 4.0.2-1
qt5-base 5.11.2-1
qt5-declarative 5.11.2-1
qt5-location 5.11.2-1
qt5-multimedia 5.11.2-1
qt5-sensors 5.11.2-1
qt5-styleplugins 5.0.0.20170311-8
qt5-svg 5.11.2-1
qt5-webchannel 5.11.2-1
qt5-webengine 5.11.2-1
qt5-webkit 5.212.0alpha2-20
qt5-x11extras 5.11.2-1
qt5-xmlpatterns 5.11.2-1
r 3.5.1-2
raptor 2.0.15-9
rasqal 1:0.9.33-2
re2 20180901-1
readline 7.0.005-1
recode 3.7-1
redland 1:1.0.17-4
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rofi 1.5.1-1
rpcbind 1.2.5-1
rstudio-desktop-bin 1.1.456-1
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
ruby 2.5.1-2
rubygems 2.7.7-1
